,text,labels
981,"Žakardska tkanina je splošna oznaka za vzorčaste tkanine, tkane na žakardskih strojih. Vzorec na tkanini se oblikuje s prepletanjem različnih niti. Najznačilnejša predstavnika, izdelana na ta način, sta brokat in damast.",Information/Explanation
203,"Kako nastane očka? <p/> Očetovstvo in materinstvo sta dve čustveno povsem neprimerljivi in nezamenljivi vlogi, ki ju nihče ne more nadomestiti in sta edinstveni. Nikoli ne more žena iz moža narediti očeta, če se on sam ne odloči za to in ne razvije očetovstva. <p/> Vsak odrasel moški nosi v sebi potencial, da postane oče. Še več, narava je otroka opremila z vsem, kar potrebuje, da sporoči očetu in materi, kako naj vsak od njiju poskrbi zanj. S svojo drobnostjo, mehkobo, smehljajem, pretresljivim jokom in zaljubljenimi pogledi vzbudi v odrasli ženski neubranljiv impulz, da otroka vzdigne v naročje in se nanj odzove, ter v odraslem moškem močan impulz, da bi to bitje obvaroval in zaščitil. In prav to je temelj starševstva. <p/> Mati ne more nadomestiti očeta in obratno <p/> Otrok torej ob očetu dobiva drugačne potrditve in drugačen občutek pripadnosti ter edinstvenosti kot pri materi. Kar pomeni, da tudi oče, ki sicer dobro čuti svoje otroke in je z njimi nežen in materinski, ne more nadomestiti matere, kakor tudi mati ne more nadomestiti očeta, pa če je še tako odločna, organizirana, telesno aktivna in ponosna. Zato se tudi oče ne more naučiti očetovstva od mame in obratno. Sam mora ob vsakem od otrok ugotoviti, kako je lahko prav temu otroku v tem trenutku in v tej družini najboljši oče, kaj prav ta konkretni otrok od njega najbolj potrebuje, kaj želi izraziti in kaj je vanj položeno, pa ne zna spraviti iz sebe. <p/> Odnos oče-otrok <p/> Odnos oče-otrok se vzpostavi že v najzgodnejšem obdobju in je pomemben tako za otroka kot tudi očeta. Otroci so že od vsega začetka močno navezani na očeta. Prav zaradi razlik v načinu interakcije med otrokom in vsakim izmed staršev imajo očetje povsem edinstveno in ključno vlogo v socializaciji otroka. Očetje se z otroki igrajo ter jih s tem fizično in psihično stimulirajo in usmerjajo k novim aktivnostim. Predvsem pa jih zavarujejo! Sposobnost ustvariti varen dom je temelj očetovstva. <p/> Otrok povezuje očeta z novimi izkušnjami, s spontanostjo in z izzivi. Z lahkoto se začnejo zanimati za takega očeta in vzajemni odnos se v takih okoliščinah hitro razvije. Očetova senzitivnost, sodelovanje in podpora med skupno igro se v prvih treh letih še posebej pomembno zapišejo v otrokovo kasnejšo predstavo bližnjih odnosov. Njegova senzitivnost med igro da otroku občutek spoštovanja in podpore ter razumevanja malčkovih potreb po raziskovanju in pripomore k občutku kompetentnosti. Otrok ob igri z očetom, ki sodeluje, ki opazi izzive in spodbuja otroka pri izzivih in njihovem razreševanju ter raziskovanju, razvija občutek pomembnosti, edinstvenosti ter zaupanja in pripadnosti očetu. <p/> Očka počne stvari drugače <p/> Vendar pa je očetom večkrat prav težko gledati mamico, ki varuje otroka, se znajde, on sam pa se počuti nerodnega in nesposobnega z otrokom zgraditi tako močan in topel stik. Ne more je posnemati, saj nikoli ne more nečesa narediti tako kot mama, ker ni mama. Lahko pa ob njej najde svoj način, ki bo otroka prav tako pomiril in mu bo prav tako zanimiv. To pomeni, da naj se nauči previjati na tak način, ki bo zanj in za otroka najbolj prijazen, naj umirja na način, ki pomiri njega, naj se igra in zabava na način, ki zabava tudi njega in ob katerem dobi občutek, da je otroku ob njem prijetno in je na svojega očeta lahko ponosen. Očetovstvo se razvija ločeno od materinstva, skupna točka je le partnerski odnos, ki v primeru, da je varen in zaupen, olajša marsikatero bolečino, stisko in negotovost, saj se partnerja lahko o njej pogovarjata. <p/> Mamice, povejte svojemu moškemu, da ga potrebujete! <p/> Moški še zdaleč niso imuni na dojenčke! Le ranljivi so, prav tako kot oni. Tudi moški joka, le da z molkom, umikom, … iz potrebe po pripadnosti. Žena možu lahko reče, naj prime otroka, naj ga previje. Lahko mu pove, da ga potrebuje. Še več, mora poskrbeti za to, da bo vedno dovolj sproščena, da bo lahko ob otroku, kar pa pomeni, da potrebuje tudi njegovo pomoč, da se v miru obleče, da v miru poje kosilo, da se naspi, če je izčrpana. <p/> Vsak normalen moški in oče je ponosen, če osreči svojo ženo, če jo zavaruje in če ga ima njegov otrok rad. Očetje so ponosni, ko uspavajo otroka, ko začutijo, kako pomembni, lepi, pametni in zanimivi so za otroka. Možje lahko zato zelo dobro vpeljejo otroke v svoja opravila, v svoj svet, saj se bo otrok vsemu čudil, tipkam na računalniku, izvijaču, kosu lesa, knjigi, vse, kar bo počel očka, bo zanj sveto. Ko očka pokaže otroku, s čim se ukvarja, kaj ga zanima, ko mu otrok lahko »pomaga«, bo za otroka to velika čast, moški pa bo svoje opravilo doživel povsem drugače. <p/> Pomemben je stik z otrokom <p/> Osnova preživetja danes je stik, čustvena uglašenost. Če starši otroku tega ne morejo zagotoviti, je to zanj velik primanjkljaj. S takim primanjkljajem v svetu zelo težko živi, saj se v odnosih ne znajde. <p/> Če je partnerja strah stika z otrokom (recimo, če ga noče previjati, ker se boji, da bo naredil kaj narobe), mu otrokova mama najbolj pomaga, če lahko vse skupaj obrne na humorno plat, npr. če si upa zaupati, da ima ta oče enako močno rad njenega otroka kot ona sama. To je edina možnost, da se bo otrokova mamica ob otrokovem očetu in ob otroku sprostila ter zaživela svoje materinstvo v polnosti, ne v zagrenjenosti in jezi na otrokovega očeta, ki »se ni odločil«, da bo za otroka poskrbel zaradi sebe, ne zato, ker je ona tako nesposobna. <p/> Starševstva se učimo ob otroku in delati napake ni nujno slabo <p/> Ne bojte se, če na začetku še ne znate vsega, če se ne znajdete, če se počutite nemočne. Otrok ima vse, kar potrebuje, da v starših prebudi pravi odziv. Otrokova narava je narejena tako, da »uči« starše. Mama in oče lahko postaneš izključno ob otroku iz trenutka v trenutek, ne vnaprej ali s pomočjo knjige. Kakor se razvija otrok, tako se skupaj z njim razvijate tudi kot oče in kot mama. Zato je prvi pogoj za ta razvoj prav fizična prisotnost. Tudi če mama z otrokom razvije močan stik, bo moral oče svoj stik z otrokom razviti od začetka, ne od tam naprej, do koder, je prišla mama. <p/> Za otroka sploh ni dobro, če ima mamo in očeta, ki mislita, da morata vse narediti prav in da delata tako, kot piše v knjigi, ne pa tako, kot je vpisano v konkretnem otroku. Stika z otrokom je samo toliko, kolikor sta morala starša ob njem razviti novih idej, novih besed, ujčkanja, tolažbe in igre. Otrok ima rad starše, ki se motijo in sproti učijo, najbolje zanj pa je, če si starša to nemoč in zbeganost priznata in drug za drugega vesta, da obvladata le tisto, kar nastaja sproti. Otrok ne potrebuje idealnih staršev, temveč take, pri katerih lahko opazuje, kako sproti izumljajo, ustvarjajo, kako se znajdejo. Za otroka je zelo blagodejen občutek, da čuti, da se starša razvijata ob njem, da se ob njem spreminjata, ne pa da sta bila že na začetku popolna, torej da je samo na njem, da se jima čim prej prilagodi. <p/> Pogovarjata se in sodelujta! <p/> Za otroka je pomembno, da je oče vesel, da ima veliko energije, da žari, da v njegovih očeh lahko začuti, da je ob njem živ. To pomeni, da se mora o svojih strahovih in negotovosti pogovarjati z ženo, da lahko skupaj tarnata, skupaj ugotavljata, kako naprej. Sposobnost soočanja s čutenji, iskanje novih rešitev, fleksibilnost in kreativnost se najlažje razvijejo tam, kjer sta moški in ženska drug ob drugem varna in se ne izgovarjata drug na drugega. Potem bo otrok kar sam klical po vedno novih in novih odkritjih ter bo tako očeta kot mamo stalno nagrajeval s svojim razvojem. Ob tem se bosta vsak posebej počutila ustrezna, kreativna in zadovoljna, kar pa jima bo spet pomagalo, da bosta bolj povezana in zaupljiva drug do drugega. Potem bosta lahko oba skupaj ob otroku vedno bolj rahločutna, sproščena in ljubeča, ob tem pa bo »nehote« rasel tudi njun medsebojni odnos. <p/> Očetovstvo in materinstvo se v polnosti najbolj razvije tam, kjer sta moški in ženska sposobna medsebojnega sodelovanja. Mož lahko postane oče samo takrat, ko razvije svojo moško identiteto do te mere, da začuti, kaj otrok potrebuje od njega kot moškega. V primerih, kjer se oče ne odloči za očetovstvo ter čustveno in aktivno ne vstopi v družino ter posledično mati prevzame celotno starševstvo in se trudi čustveno prevzeti in napolniti tudi očetovo vlogo, se hitro zgodi, da tudi sama izgubi stik z otroki. Očetovstvo je izključna odgovornost očeta in materinstvo izključna odgovornost matere. Drug drugemu ne moremo uničiti starševstva, lahko pa drug drugega tako zagrenimo, da se nam starševske vloge sploh ne ljubi več iskati. To pa je krivica za otroka. Starša si zaslužita v polnosti začutiti vsak svoje starševstvo, še bolj pa si zaslužita začutiti, da ju ima otrok rad, ter da sta tudi onadva sposobna imeti otroka rada. <p/> Zato naj bodo mame mame, očetje pa očetje.",Opinion/Argumentation
501,"NOGOMETNO IGRIŠČE <p/> Goooolll ... Naši vodijo, zopet je v vodstvu ekipa rdečih ..... Leseno nogometno igrišče s igralci ponuja neskončno možnosti igranja nogometa za velike in male navdušence... V kompletu se nahaja 6 igralcev ter sodnik, gola, tabla za rezultat in še marsikaj, .... <p/> Povezani izdelki <p/> Ta veličasten leseni grad je največji v daleč naokoli. Vitezi prijezdijo vanj, ko se dvigneta dvižni most in vrata, na obzidju in stolpih pa budno pazijo lokostrelci... Ne manjkajo pa niti zastave, ki obveščajo, da je kralj doma. <p/> Ubranite zmajski grad pred napadom!!! Na obzidju stražijo vitezi in lokostrelci, v razglednem stolpu pa nad dogajanjem bedi kralj ... Popolno oblikovan in zasnovan leseni grad za neizmerno zabavo.",Promotion
803,"Tale pogovor je nastal s podporo festivala Slovenski dnevi knjige. Damir bo z Esadom Babačićom zaključil festival z dogodkom ""Nikoli ni čas za Frankfurt"". To bo 22. aprila ob 21:00 v Pritličju. Tole je odlična popotnica za zanimiv večer: ""Na svoj prvi skupni nastop bosta prišla brez inštrumentov, oborožena samo z mikrofonom in besedami, ki jih za zdaj čuvata zase, saj še nihče natanko ne ve, kam nas bo preplet dveh karizmatičnih pesnikov popeljal.""",Other
62,"Heh, me pa ob tovrstnih izjavah firbec matra... so ti predalčkanje ljudje dosledni? Za pse naj bi torej po njihovem mnenju bili osamljeni. Kaj pa za ribice? Pa za mačke? Ali pa činčile? Kaj pa za ptičke, želve, konje,...? Joj mi je res smešno to. Vam kar jaz povem. Za vse živalice so ljudje, ki znajo zaznati veselje v katerihkoli očkah. <p/> Kužko je <p/> res en tak prisrčen družabnik, ki te spravi ven - pa če si osamljen ali pa je okrog tebe preveč Kekcev, pa greš rad malo v mir. In še nekaj - v njegovih očeh je res nekaj, kar v človeških redkokdaj najdeš - zvestoba brez sebičnosti, M. <p/> no, če smo pošteni <p/> (in ne v stilu I. Gartnerja! ), potem je treba reči, da ima ogromno ljudi psa zato, ker SO osamljeni. IN to zelo osamljeni! Preveč ljudi je, ki so psotali asocialni in se raje posvečajo psu kot sočloveku. Daleč preveč je (recimo) starih mam, ki ne pazijo vnukov zato, ker otroci delajo njihovega ljubljenčka... hm..živčnega.....Preveč ljudi je, ki ima pse raje kot otroke.... O tem so še letos tekle vročekrvne debate na nekaterih forumih.... <p/> Skratka... PREVEČ JE LJUDI, ki so izgubili stik z realnostjo in psu posvečajo tisto ljubezen, ki jo sočloveku niso zmožni. <p/> A to še ne pomeni, da vmes nismo tudi normalni.... <p/> Taki, ki imamo pse sicer radi, a istočasno vemo, da je pes - kakorkoli že obrnemo - še zmeraj "" le "" žival. .... . <p/> MM <p/> Komentar brez naslova <p/> poznala sem nekoga, ki ga je ob prihodu iz službe vedno veselo pričakal kuža. malo hudomušno je pravil, da ga je kuža vedno vesel, žena pa ga niti enkrat ni tako radostno pričakala pri vratih pozdravček, d <p/> tetka:) <p/> se ne strinjam. če samskemu človeku že kej manjka - je to partner. torej človek. pa nekako vztrajam v prepričanju, da ne išče psa, heh. ker pes ne more nadomestiti človeka. lahko mu samo vnese več življenja in globine. to pa s tem stanom nima nobene veze. <p/> psa si želiš, če se ti kot bitje dopade. tako je ko si otrok in ko odrasteš. občutek osamljenosti se rodi v človeku, ne v okolici. ga imajo tudi poročeni ljudje kdaj. <p/> če pa ga (psa) že kaka nesrečna duša vzame zato... je pa uiber samo sebe okol prnesla s tem, heh. ker v tem primeru je pes samo sredstvo, da se tako zaposli, da ' pozabi ' na svoje občutke. deloholik bi pa takrat več delal pač. žblj. samozaklanje in izbjegavanje problema jaz rečem temu. <p/> pri meni pes še nikoli ni bil sredstvo za navezovanje stikov. mi gre to čist dobr tud brez njega. <p/> hihi, kloti:) <p/> se pa jest ne ukvarjam glih s tem kaj se najde pri psu in kaj pri človeku. oboje mi je fajn. pes se mi dopade, rada ga imam in zato sprejmem cel komplet, ki ga prinese. <p/> zame <p/> so živali, del življenja, spadajo v življenje človeka, kot spadajo tudi drugi ljudje. Je pa res, da je z ljudmi dosti bolj naporno lahko sobivanje kot z živalcami. Člouk je u našem času tukaj in zdaj.... tko že mal napol degeneriran, (puneguzicevsegapačserjejovsepovsodane... ) pa še psiha ga jebe, seveda kokrkoga ja... tko, da je prav zdravilno se družit z živalcami <p/> hm, milena:) <p/> če smo pošteni? sklepam, da so ti mnogoteri ljudje torej sami tako povedali. kaj mislim glede tega, sem povedala že v odgovoru tetki... daj, preberi prosim, da ne pišem še 1x. <p/> če pa ti o tem tako, iz svojega sklepanja... mi pa verjetno ni treba poudarjati, da je to etiketiranje in / ali rekla-kazala sistem. torej zame daleč od reale in poštenja. <p/> to, da se mi zdi posvečanje izkjlučno živalim ali izključno ljudem sfaljeno, sem že večkrat povedala (v tem postu pa res še ne). in se mi neukvarjanje babic z vnuki iz tega naslova, ki ga omenjaš, zdi prav bolano (obratno pa tudi). je pač treba si vzeti čas in vzgojiti otroke glede psa (eni so res totalni antitalent) in psa glede otrok. <p/> ljudi, ki imajo raje psa kot otroka in ljudi, ki imajo raje pse, kot ljudi, pa jaz mečem v isti koš. razlika je samo v starosti, drgač je pa isto. <p/> sicer pa ta post govori o tem, da biti skrbnik psa niti približno že po defoltu ne pomeni biti osamljen. <p/> imam rada pse. imam rada ljudi. in kakorkoli že obrnemo - je tudi človek ' le ' žival. če bi človeštvo v svoji samopomembnosti zavrglo vsa preostala živa bitja, bi dihalo nič in se lahko samo še samo sebe žrlo. hecno je, da to včasih počne že brez tega. <p/> hihi, darja:) <p/> jih pa jaz praviloma ne jemljem dobesedno (nekako se mi zdi logično, da verjetno je obstajalo obdobje zaljubljenosti, hihi). je pa res, da imamo ljudje v sebi tisti strup, ki se mu reče samoumevnost. in je potem pasja sposobnost vsakokratnega veselja prav očarjliva. <p/> in aveš da jaz tudi praviloma nobenega tipa nisem pričakala pri vratih, hehehe... ker ne slišim in ne voham tako dobro, kot pes. <p/> rajna:) <p/> ampak point je tokrat predvem drugje. v tem, da spoštujmo tudi človeka. hm. pa v bistvu je res prepleteno, ja. če spoštuješ in žival in človeka, potem je spoštljiv odnos do sobivanja živali in človeka kar samodejen. <p/> samo tole <p/> tudi mi ga imamo in si ne predstavljam, da je nimamo, ker je prinesla tako veselje vsem, da se kar ne da povedat. <p/> Zanimiva pa mi je izjava mojega otroka, ko smo ga enkrat spraševali kako to, da se do muca in kužata vede drugače kot do ljudi, jima izkazuje vso ljubezen, skratka z njima ravna drugače kot včasih z ljudmi.Njegov odgovor je bil ŽIVAL MI NE PRIZADELA ČLOVEK PA ŽE VEČKRAT. <p/> Hej Morska Deklica <p/> ja, zivali so del zivljenja in bivanja s clovekom. Pa ce zivijo s tabo ali pa s sosedom. V zivljenju sem imela priliko opazovati popolnoma razlicne kulture v odnosu do zivali. Recimo v Grciji. Pes striktno spada ven iz hise. Nedajboze da bi se vsedel na zofo ali fotelj. Ali prinasal dlake in bacile iz zunanjosti v notranjost. H kakemu malemu otroku ga pa sploh ne spustijo. In ce je slucajno kak kosmatincek zalutal na otrosko igrisce, so mamice zagnale vik in krik. Ce pa je nesrecno bitje imelo se to smolo, da se je precej oglasal (sploh v mestih), pa sosedom ni bilo prav nic tezko psicka zastrupiti (nam so v Atenah enkrat mucka, pa sploh ne vem, kaj jim je naredil). <p/> Po drugi strani pa opazujem angleze. Ki se do zivali zelo lepo obnasajo (no, so tudi skrajne izjeme, ampak govorim tako na splosno). V vojski in policiji psi dobivajo odlikovanja in nazive (Sargeant, Lutenant, itd.), na podezelju je ni hise, ki ne bi imela dva psa. Ko sem pri "" moji "" druzini vprasala, zakaj imajo vsi po dva psa, so rekli: "" Da zivalice ne bi bile osamljene... ves, mi nismo in ne moremo biti v vsakem trenutku z njimi, tako da je fajn, da ni samo ena zival ampak da ima druzbo! "" Torej, ne gre za to, da bi clovek potreboval druzbo ampak da je druzba zagotovljena tudi psu. Srecam tudi ljudi iz drugih kultur, katerim se zdijo zivali "" neciste "". Ja, pogledi so razlicni. Samo tisti, ki res vedo, kako pomembne so zivali, jih tudi spostujejo. In zdaj v Angliji razmisljajo, da bi spet naselili rjavega medveda in volka, ki sta sicer tudi tu doma, le da so ga v zgodovini iztrebili. Me prav zanima, kako se bo ta debata koncala. <p/> babica:) <p/> hm... o tem, koliko jih in zakaj raje priženijo psa, kot otroka, ne bi... ker takih ne poznam in ker jaz nimam tako. ko se skušam vživeti... mi pa najbolj skoči v oči to, da se psa lažje zaščiti. če ne zaupaš v ta svet, v vzgojo in vplive drugih... je lažje biti odgovoren za kužka. ker ga lahko ločiš od vzgoje tujcev. ampak itak vztrajam, da obrniti se od ljudi stran ni ok. <p/> ne maram takega označevanja kar po splošnem. poznam pare, ki so dolgo imeli psa, otroka pa ne. zdaj imajo tudi otroka. in se mi zdi grdo in brezveze kar predalčkat. ni nobeno pravilo, kaj moraš imeti najprej. <p/> in mi iskreno ni jasno, zakaj bi bil kdo dolžen trenirati nogomet namesto odbojke ali imeti 2 otroka namesto enega ali se spustiti v starševstvo, če ne želi (ali dokler ne želi). za zadovoljitev drugih? zakaj? naj sami svoje ideje in predstave živijo... <p/> in zakaj bi bil kdo, ki noče imeti otrok - psa pa, slabši od tistega, ki ne želi niti otroka niti psa? tisti, ki noče imeti otrok in ima ribice je pa v vseh očeh brezmadežen, ali kako? <p/> če hoče kdo imeti otroke, naj jih ima, ane, že v teh primerih je svašta od motivov. če noče, pa pač ne. pustimo drugim to svobodno izbiro, sami se pa držimo svoje. z družbenim pritiskom vsiliti otroka močno ni usloga za tistega otroka. <p/> zuzi:) <p/> hi, res je, da so del življenja. ampak ko nanese na bivanje in soseda, gre pa za posredno in neposredno. je vse del življenja, ampak so bistvene razlike. <p/> recimo. jaz imam rika. sem izbrala življenje z njim, ne v z vsemi psmi vseh sosedov. me sosedovi nič ne motijo (tudi kadar so glasni, ne), ampak tako direktno del mojega življenja pa niso, da bi si želela pucat njihove kakce s svojega vrta. na srečo so sosedi tako korektni, da jim je to jasno, heh. <p/> in so razlike v družbah, ja... meni je ta angleška varianta še najbolj blizu. se mi zdi ful pravo to spoštovanje vseh bitij, da se gleda ne samo skozi sebe, ampak tudi nanje, zanje.",Forum
708,AKCIJE <p/> Aktualne akcije <p/> Za vas smo pripravili kar nekaj posebnih ponudb po ugodnih cenah. Preverite naše AKTUALNE AKCIJE in kupite kakovostne Calivitine izdelke še ceneje! Za vsa vprašanja in naročila nas pokličite na: 040 61 82 61.,Promotion
871,"Znani nasprotniki v kvalifikacijah <p/> Idrija, 17.02.2017 <p/> Košarkarska zveza je obelodanila termine tekem in nasprotnike. V prvi tekmi članskih kvalifikacij (4.3.) se bodo naši fantje v Modri pomerili z Vojnikom. Sledi tekma na Vranskem in domača proti Dravogradu. Skupaj bo tako odigrano šest tekem. Neposredno se v višjo ligo uvrsti najboljša ekipa, ekipa ki pa bo zasedla drugo mesto pa gre v dodatne kvalifikacije.",News
4,"Selena Gomez ponudila v poslušanje novi album <p/> 16.07.2013. 11:00h 0 0 <p/> Z igrico na Twitterju lahko slišite, kako zveni album Stars Dance. <p/> Mična pevka bo 23. julija postregla z novim albumom. Napovedala ga je s singlom Come &amp; Get It, ki ga je predstavila na letošnjih MTV Movie Awards. Nato sta sledili še pesmi Slow Down in Love Will Remember.",News
773,"Ministrica dr. Angelika Mlinar na obisku EU projektov v Trbovljah <p/> Ministrica za razvoj, strateške projekte in kohezijo dr. Angelika Mlinar je skupaj z ministrom za kulturo Zoranom Pozničem in državnim sekretarjem Alešem Bucikom v Trbovljah obiskala projekte, ki se izvajajo s pomočjo evropskih kohezijskih sredstev. <p/> Ministra in državni sekretar so obiskali prostore centra RUK Trbovlje, mreže centrov raziskovalnih umetnosti in kulture, ki predstavlja presečišče umetnosti, znanosti in tehnologije. Center je podprt s sredstvi Evropskega sklada za regionalni razvoj. Dr. Maša Jazbec, vodja raziskovalnega laboratorija DDTlab, je predstavila interdisciplinarni trikotnik, kjer razvijajo inovativne produkte in storitve za humano tehnologijo prihodnosti, ter izkušnje iz tujine, predvsem iz Japonske ter avstrijskega Linza, kjer domuje tudi Ars Electronica, največja in najpomembnejša svetovna platforma za medijsko umetnost. <p/> Dr. Angelika Mlinar, Zoran Poznič in Aleš Bucik so obiskali tudi podjetniški pospeševalnik Katapult, ki je s projektom SIO-KATAPULT 2020-22 uspešno kandidiral za evropska sredstva na javnem razpisu Ministrstva za gospodarski razvoj in tehnologijo za izvedbo podpornih storitev subjektov inovativnega okolja v Republiki Sloveniji 2020-2022. Spoznali so inovativno delovanje partnerskih podjetij in spregovorili o evropski kohezijski politiki v prihodnji finančni perspektivi 2021-2027 ter o možnostih koriščenja drugih razvojnih virov poleg kohezijskih. Dotaknili so se priložnosti povezovanja naravoslovnih in družboslovnih ved na področjih, kot so informacijsko-komunikacijske tehnologije, humanizacija tehnologije, virtualna in razširjena resničnost, robotika, biotehnologija in nanotehnologija. Delovni obisk so zaključili z ogledom virtualnega muzeja rudarstva, podprtega z evropskimi sredstvi v okviru Programa sodelovanja Interreg Slovenija-Hrvaška 2014-2020.",News
412,"Januarja 2011 smo začeli usposabljati 14 novih svetovalcev za kakovost v sklopu projekta Svetovalci za kakovost izobraževanja odraslih. Načrtovane dejavnosti za razvoj kakovosti bodo izbrani svetovalci za kakovost uresničevali s pomočjo srečanj na Andragoškem centru Slovenije, preostalo delo v zvezi z razvijanjem kakovosti pa bodo opravljali sočasno v svojih organizacijah, in sicer v obsegu 32 ur na mesec. <p/> Na prvem srečanju, ki je potekalo 26. januarja 2011, so udeleženci: <p/> Udeleženci prvega srečanja v projektu Svetovalci za kakovost izobraževanja odraslih <p/> prejeli osnovne informacije glede vsebine in načina dela pri projektu, <p/> seznanili so se z vlogo svetovalca za kakovost v izobraževanju odraslih, <p/> spoznali so tudi eno izmed kvalitativnih metod za presojanje in razvijanje kakovosti, in sicer metodo kolegialne presoje, <p/> ter se seznanili s pregledom objavljenih vsebin na spletu o presojanju in razvijanju kakovosti izobraževanja odraslih. <p/> Na drugem srečanju, 9. marca 2011, so se udeleženci v celoti posvetili pripravam na kolegialni obisk v šestih izbranih izobraževalnih organizacijah. <p/> Dr. Tanja Možina z udeleženci med pripravo strokovne kolegialne ocene samoevalvacijskega poročila <p/> Z vidika vloge kolegialnih presojevalcev so se naučili: <p/> kako presojati samoevalvacijsko poročilo ter podati strokovno oceno, <p/> kako se pripraviti na pogovor z različnimi interesnimi skupinami (direktor / ravnatelj, učitelji, udeleženci, organizatorji izobraževanja... ), <p/> kako podati povratno informacijo organizaciji gostiteljici obiska in <p/> pripraviti zapis o izpeljanem kolegialnem obisku, ki bo podlaga za pripravo končnega poročila. <p/> Z vidika vloge koordinatorjev kolegialnega obiska v izobraževalni organizaciji pa so spoznali: <p/> kako poteka priprava kolegialnega obiska v organizaciji ter <p/> na kaj morajo biti pozorni med potekom obiska in ob zaključku le-tega. <p/> S pomočjo igre vlog so udeleženci na srečanju zaigrali tudi potek skupinskega pogovora kolegialnih presojevalcev z ravnateljem, učiteljem, članom skupine za kakovost in svetovalcem za kakovost. Ostali udeleženci so bili v vlogi opazovalcev pogovora. <p/> V času od 21. aprila do 24. maja 2011 so potekali kolegialni obiski v šestih izobraževalnih organizacijah. Predmet presoje na kolegialnih obiskih je bil notranji sistem kakovosti, ki ga izobraževalne organizacije uporabljajo. Vsako organizacijo je presojala skupina treh kolegialnih presojevalcev, ki je pred izpeljavo obiska pregledala samoevalvacijsko poročilo, pripravila presojo po vnaprej opredeljenih merilih ter pripravila vprašanja za presojo, s pomočjo katerih so presojevalci želeli dodatno osvetliti nekatere vidike ali pa pojasniti določene informacije, ki so bile zapisane v poročilu. <p/> Gostitelji kolegialnih obiskov med pogovorom o vtisih ob pripravi in izpeljavi kolegialne presoje <p/> Na tretjem srečanju, ki je potekalo 7. junija 2011, so se udeleženci najprej pogovorili o vtisih o izpeljani metodi kolegialne presoje, nato pa so prejeli še nekaj napotkov, kako pripraviti končno poročilo o kolegialni presoji. V drugem delu srečanja so se udeleženci seznanili s pripravo dokumenta Listina kakovosti, se pogovorili o uveljavitvi vloge svetovalca za kakovost v kolektivih ter kako na spletnih straneh vzpostaviti podstran o kakovosti. <p/> Na četrtem srečanju, 4. oktobra 2011, ki je bilo tudi zaključno srečanje v letu 2011 smo skupaj z udeleženci ovrednotili proces kolegialne presoje ter se pogovorili o načrtovanih izboljšavah kakovosti v izobraževalnih organizacijah. Dogovorili smo se tudi o nadaljnjem delu v zvezi z listino kakovosti ter pregledali, katere informacije v zvezi s kakovostjo in izobraževanjem odraslih so objavljene na spletnih straneh. <p/> V drugem delu srečanja pa smo ovrednotili vlogo svetovalca za kakovost v sodelujočih izobraževalnih organizacijah ter se pogovorili o aktivnostih do zaključka projekta Izobraževanje in usposabljanje strokovnih delavcev v izobraževanju odraslih od 2009 do 2011 in aktivnostih za nadaljevanje dela v okviru projekta Izobraževanje in usposabljanje strokovnih delavcev v izobraževanju odraslih od 2011 do 2014. <p/> Med skupinskim delom pri ovrednotenju vloge svetovalca za kakovost v sodelujočih izobraževalnih organizacijah <p/> Tako so udeleženci ovrednotili in prikazali svoje delo v vlogi svetovalca za kakovost",News
