,text,labels
324,"Ja tudi meni se zdi grdo, da moram razlagati zakaj sem samska, pač nisem še našla fanta, ki mu ne bi bilo do spolnih užitkov.Ker v spolnosti res ne uživam sploh se mi ne zdi nič posebnega kolikor sem jo do zdaj spoznala.Drugače nisem gravžljive sorte težko najdem stvar, ki bi se mi gravžala edino moški organ se mi pa res.Ja možno je, da je tudi stres vmes hkrati se pa ne vidim vezane in recimo poročene <p/> Imaš "" srečo "", da se ti gravža SAMO moški spolni organ. Meni se gravža vse po spisku (dooolg). Najti aseksualnega partnerja je po moje težko tudi zaradi tega, ker jih veliko za nič na svetu ne bi priznalo, da so takšni. <p/> Ja res je ponos moških trpi ob takem priznanju.Samai mam veliko željo nekoč postati mama a spet je tu moja usmerjenost oziroma občutje spolnosti težava.Kako bom postala mama če mi ni so spolnih užitkov <p/> Najbrž bo to odvisno od tega, kakšen odnos boš imela s človekom, s katerim boš par. Meni na začetku ni bilo zoprno, ker sem bila zelo zaljubjena. Zato imam vseeno dva otroka. Telesnih užitkov sicer nisem čutila, ampak čustvena bližina je bila dobro ravnotežje. Ko je ljubezen zamrla, pa se nisem mogla več niti poljubljati. Zadnja leta pa si itak ne morem več predstavljati niti dotikov. Objem s prijateljem - to še gre. Ostalo pa se mi upira. Nisem sicer srečna, da je tako, ampak se sprijazniš (kaj pa ti preostane) in navadiš. <p/> Oprosti, mogoče nisi tako mislila, ampak to se mi zdi narobe. Vedeti, da si ne želiš dolgotrajnega partnerskega odnosa in spolnih odnosov, ampak vseeno poiskati nekoga in mu lagati, dokler ne zanosiš, pač ni v redu. Pikin primer je ok, ker je šele kasneje ugotovila in ni zavestno lagala - pa še ona je s svojim bivšim partnerjem verjetno marsikaj pretrpela ob ločitvi. Čisto razumem pa od kod izhajaš, ker se tudi meni ne zdi fer, da verjetno ne bom mogel imeti "" normalne "" družine in otrok. Ampak tudi heteroseksualne osebe imajo pogosto težave pri iskanju ustreznega partnerja. Lahko pa poznavanje sebe in svojih pričakovanj izkoristiš, da si ustvariš takšno zvezo, kot si jo res želiš. Če najdeš aseksualnega partnerja ali donorja, lahko pa tudi zanosiš brez direktnega spolnega stika. <p/> Ja tudi ta možnost o donatorju pride v poštev verjetno bo treba malo čez lužo ko bo ura tiktakala ker imam res željo nekoč postati mama in ja res bi bilo grdo imeti fanta samo zato, da bi zanosila.Tako, da bom res čez par let morala v akcijo iskanja aseksualnega partnerja z keterim bi se čustveno ujela ali pa darovalca <p/> Ja res je težko in verjetno če bo našla človeka z katerim bi lahko živela bi se morala pogovoriti.Še najbolj si pa želim čez nekaj let otroka brez, da bi se morala spustiti v spolni odnos.Sita sem tega, da mami povem, da se vidim samo z otrokom brez moškega morda je to slišati sebično, da bi bil otrok brez očeta, da pravi dobi fanta pojdita v posteljo ko zanosiš se ga znebi.Sploh ne razume, da se mi gabi misel na spolni odnos <p/> Meni se to ne zdi sebično. Vedno so obstajale samske ženske, ki so bile brez moškega. Če znajo dobro poskrbeti za otroka, potem po moje to ni sebično. Sebično pa se mi zdi, da partnerju lažeš in si z njim le dokler ne zanosiš. <p/> bela je napisal / a: <p/> Sploh ne razume, da se mi gabi misel na spolni odnos <p/> Mogoče bi se morala pogovoriti z mamo. Moja je sicer potrebovala čas, da me je sprejela. Vendar pa ji je zdaj OK ob misli, da sem aseksualna in da si ne želim seksualnega partnerstva. Jaz si tudi želim otroka in še ne vem kako se bo to nekoč zgodilo. Se pa ne obremenjujem s tem. Bo, kar bo. <p/> Ja res je nima smisla, da človeku lažem samo zato, da zanosim.Po domače največja želja mi je, da bi postala mama brez, da bi zato morala v posteljo in bi tudi otroka sama vzgajala sicer pa lahko ženska igra tako vlogo mame in očeta <p/> Ja res je neprijetno če imata starša vsak svoj pogled na vzgojo in vem kako je otroku če ne ve na katero stran naj gre z kom naj drži.Sem samska in verjetno tudi bom samska z otrokom malo sem že pregledala možnosti oploditve brez spolnega odnosa in kar dobro kaže tako, da ko bo čas bom lahko dobila otroka.Ravno danes me je mami šokirala z izjavo, da bi morala čez pol leta na eno zabavo pripeljat fanta zato, da ne bom črna ovca v očeh sorodnikov, da bom lahko rekla, da imam fanta samo zato da jim bom zaprla usta <p/> Ravno danes me je mami šokirala z izjavo, da bi morala čez pol leta na eno zabavo pripeljat fanta zato, da ne bom črna ovca v očeh sorodnikov, da bom lahko rekla, da imam fanta samo zato da jim bom zaprla usta <p/> Žalostno. Očitno je tvoji mami bolj pomembno kaj si bodo ljudje mislili o tebi (in tvoji mami) kot pa kaj si ti zares želiš. Družbeni pritiski so grozna reč in upam, da ti bo uspelo ostati zvesta sama sebi. Upam, da imaš podporno okolje, v katerem se čutiš sprejeta ne glede na svoja aseksualna občutja. Brez tega zna biti izredno naporno",Forum
253,"Bo kolesarjenje postalo del zimskih športov? <p/> Brian Cookson, predsednik mednarodne kolesarske zveze, si želi resne prenove olimpijskih programov. <p/> M. A. / London / BBC <p/> 26. 3. 2014, 11:42 <p/> Kolesarji na stezi bi se lahko čez štiri leta za kolajne borili ob boku smučarjev. <p/> Mednarodni olimpijski komite se je že pred časom zavezal k pregledu olimpijskih programov, saj menijo, da je program poletnih olimpijskih iger preveč zgoščen. S prav posebno rešitvijo se je oglasil predsednik Mednarodne kolesarske zveze Brian Cookson, ki si prizadeva, da bi nekatere ' poletne ' športe preprosto prestavili med ' zimske '. <p/> "" Premisliti bi morali o zimskih olimpijskih igrah zakaj bi tam morala biti zgolj sneg in led? Če imamo problem s poletnimi olimpijskimi igrami, kjer je celotna zadeva prenatrpana s preveč prizorišči, preveč športi in preveč športniki, zakaj ne bi razmislili o tem, da nekatere dvoranske športe prestavimo na zimske igre? "" je dejal Cookson in ob tem natančno navedel, katerim športom bi to najbolj koristilo. <p/> "" Zakaj ne bi prestavili borilnih športov, kot je judo, ali drugih dvoranskih športov, kot je badminton? Pravzaprav bi lahko na zimske olimpijske igre prestavili tudi dvoransko kolesarjenje. Če bi nam to uspelo, bi imel ta šport več disciplin in kolajn, kar bi bilo za ta šport dobro, "" je zaključil Cookson, ni pa še znano, ali bodo njegovi predlogi naleteli na plodna tla.",News/Reporting
674,"Teptanje ustave namesto prevzema odgovornosti <p/> Informacijski pooblaščenec je policijo zalotil pri nelegalnem pridobivanju podatkov o bralcih spletnih portalov. Namesto prevzema odgovornosti želi ministrstvo dejanja policije legalizirati. Čeprav so v nasprotju z ustavo. <p/> Če dobi nekdo opozorilo, da s svojimi dejanji krši zakone, bo, če je razumen, s temi dejanji prenehal. Policija oziroma ministrstvo za notranje zadeve pa vidita stvar nekoliko drugače – namesto prenehanja izvajanja nezakonitih aktivnosti bi te uzakonila. Pa čeprav je ta uzakonitev v nasprotju z ustavo. <p/> A pojdimo po vrsti. Na spletnem portalu podcrto.si smo januarja letos objavili poročilo Informacijskega pooblaščenca, ki ugotavlja ponavljajoče nezakonito ravnanje policije pri pridobivanju podatkov od upravljavcev spletnih portalov. Policija je namreč informacije o identiteti bralcev in piscev komentarjev na spletnih portalih od upravljavcev portalov v veliki večini primerov zahtevala brez sodne odredbe. Zakon o elektronskem poslovanju na trgu pa določa, da lahko policija take podatke pridobi le s sodno odredbo. A policija je po ugotovitvah informacijskega pooblaščenca v letu 2012 informacije o bralcih s sodno odredbo pridobila le štirikrat. V preostalih 31 primerih pa jih je zahtevala mimo sodišč. <p/> Precej medijev tem ugotovitvam ni namenjalo pozornosti. To je razumljivo – mediji, ki upravljajo s spletnimi portali, so namreč v 23 primerih podatke o identiteti svojih bralcev policiji tudi posredovali, čeprav slednja zanje ni imela sodne odredbe. Tako so tudi sami sodelovali pri kršenju zakonov. <p/> Bolj pa preseneča odziv policije in ministrstva za notranje zadeve, ki je policiji nadrejen organ. Namesto ugotavljanja odgovornosti in kaznovanja krivcev v policiji za ponavljajoče se kršenje zakonov so se na ugotovitve informacijskega pooblaščenca odzvali s kreativnim razlaganjem zakonodaje, ki da pa morda vendarle omogoča pridobivanje informacij mimo sodišč. Tako so na plano privlekli 149.b člen zakona o kazenskem postopku. Tretji odstavek omenjenega člena policiji daje možnost, da le z njeno pisno zahtevo od operaterjev zahteva podatke o lastniku ali uporabniku določenega komunikacijskega sredstva za elektronski komunikacijski promet, ki niso objavljeni v naročniških imenikih. Za pravno latovščino se skriva preprost namen: zakonodajalec je želel policiji delo olajšati v primerih, ko policija ima telefonsko številko osumljenca, ne more pa ugotoviti njegovega imena in priimka, ker številke ni v telefonskem imeniku. Policija oziroma MNZ pa sta si določbo kreativno razlagala: pod operaterje bi lahko šteli tudi upravljavce spletnih portalov, zato morajo slednji podatke dati tudi brez sodne odredbe. <p/> To rešilno bilko policije je na koncu po seriji dopisovanj med ministrstvi za pravosodje, za gospodarstvo, in za visoko šolstvo, znanost in tehnologijo z namenom ugotoviti definicijo operaterja, zlomilo slednje. Povedalo je, da Zakon o elektronskih komunikacijah operaterja definira kot nekoga, ki skrbi za komunikacijsko omrežje. Tega pa spletni portali seveda ne počnejo. MNZ je zdaj zmanjkalo izgovorov in tako je konec februarja Informacijskemu pooblaščencu priznal, da je policija v skoraj vseh primerih pridobivanja podatkov ravnala nezakonito. <p/> A zgodba se tu ne konča. MNZ se je namreč odločil nezakonito početje policije uzakoniti. In sicer s spremembo zakona o kazenskem postopku (ZKP). Predlagana novela ZKP, ki je trenutno v medresorskem usklajevanju, bi tako v omenjeni tretji odstavek 149.b člena vključila tudi ponudnike storitev. S tem bi morali po tolmačenju MNZ podatke policiji na le njeno pisno zahtevo posredovati tudi upravljavci spletnih portalov. Do zdaj nezakonita praksa bi torej postala zakonita. <p/> A ta argumentacija ima eno težavo – Ustavo Republike Slovenije. Kot opozarja Informacijski pooblaščenec, Ustava v 37. členu zagotavlja tajnost pisem in drugih občil, samo zakon pa lahko predpiše, da se na podlagi odločbe sodišča za določen čas ne upošteva varstvo tajnosti pisem in drugih občil in nedotakljivost človekove zasebnosti, če je to nujno za uvedbo, ali potek kazenskega postopka ali za varnost države. Nadalje je ustavno sodišče v svoji odločbi iz leta 1997 odločilo, da ni zagotovljena le tajnost vsebine komunikacije, torej na primer vsebine pisma, temveč tudi okoliščine komunikacije, torej kdo je s kom komuniciral in kdaj. Tako so tudi podatki o tem, kdo je dostopal do nekega spletnega portala ali na njem puščal svoje komentarje, ustavno zaščiteni komunikacijski podatki. Policija pa jih lahko zato pridobi le s sodno odredbo, ne glede na to, kakšen zakon si napiše. Ustava je namreč kot najvišji pravni akt nad zakonom. In glede na izkušnje z jugoslovanskimi tajnimi službami je razumljivo, zakaj je ustava tako stroga pri pridobivanju komunikacijskih podatkov. <p/> Namere policije oziroma notranjega ministrstva pri spreminjanju zakona o kazenskem postopku so zato skrb vzbujajoče. Ne toliko z vidika želje organov po lažjem pridobivanju podatkov o bralcih spletnih portalov, ampak zaradi namena očitnega izigravanja ustavnih določil. Slednja so temelj pravne države, njihovo teptanje pa nas kot družbo spravlja v veliko nevarnost. <p/> Zato bi organi pregona morali, v kolikor si komunikacijske podatke želijo pridobivati mimo sodišč, to željo doseči po pravni poti. Tako, da predlagajo spremembo Ustave. Ta pot je seveda neprimerno težja kot dopolnitev zakona – terja namreč soglasje dveh tretjin poslancev državnega zbora. A je edina dopustna. In edina, ki bi sprožila ustrezno javno razpravo o predlaganih spremembah. <p/> Če bi bil predlog spremembe ZKP kljub temu sprejet in bi policija nato komunikacijske podatke v nasprotju z ustavnimi določbami začela pridobivati mimo sodišč, pa se bomo soočili še z eno težavo. Tako pridobljenih dokazov sodišča ne bodo smela upoštevati, saj bodo pridobljeni nezakonito. Zaradi nezakonito pridobljenih dokazov pa so na primer bili oproščeni akterji v zadevi balkanski bojevnik. Policija na sodišču ni znala pojasniti, kako je dobila telefonske številke obdolžencev, katerim je nato prisluškovala. Številke namreč niso bile javno objavljene. V skladu z ustavo bi morala dokazati, da jih je dobila zakonito – bodisi s sodno odredbo od mobilnega operaterja bodisi na kak drug zakonit način, na primer od policijskih sodelavcev. Sodniki so nato odločili tako, kot so po ustavi in zakonu dolžni. Nezakonito pridobljene prisluhe so zavrgli in večino obdolžencev oprostili. Po takratnih besedah direktorja uprave kriminalistične policije Jurija Fermeta je policijo sodba ""šokirala"". No, zgodovina se zdaj ponavlja, novi šoki pa nas, kot kaže, čakajo že za naslednjim vogalom.",Opinion/Argumentation
600,"Cena odtisa za Canon i990 <p/> Zdaj smo končno dobili rdečo kartušo in se lotili trajnostnega preizkusa. Našo preizkusno fotografijo smo z najboljšimi nastavitvami za svetleč papir tiskali v neskončno in sproti menjavali posamezne barvne kartuše, ko so se izpraznile. Najprej smo morali zamenjati svetlo modro, nato svetlo vijolično, nato pa po vrsti rumeno, vijolično, črno, svetlo modro in nazadnje rdečo. Izkaže se, da tiskalnik pri tiskanju naše fotografije (ki vsebuje kar nekaj rdeče) porabi le 3,8 % rdečega barvila. <p/> Preizkusni dokument, s katerim merimo ceno odtisa fotografije. <p/> Zanimivo je tudi, da je tiskalnik z barvilom malce bolj varčen kakor njegov predhodnik i965, oz. so barvne plasti, ki jih nalaga, tanjše. Zato je cena odtisa fotografije z i990 74 tolarjev, ista fotografija s tiskalnikom i965 pa stane 84 tolarjev. <p/> Primerjava porabe posameznih barvilnih kartuš za tiskanje naše preizkusne fotografije. <p/> Ob preizkusu smo tiskalniku zamerili, da so izdelane fotografije preveč rožnate. Zdaj smo preizkus ponovili z najnovejšo strojno programsko opremo in gonilniki (marca je bilo vse še v testni fazi) in ugotovili, da so rezultati precej boljši, čeprav še vedno nekoliko preveč rožnati. <p/> Če ob že zapisanem o tem tiskalniku povzamemo še zgornje, lahko ugotovimo, da je i990 trenutno najboljši in najhitrejši foto tiskalnik na trgu.",Opinion/Argumentation
460,"Veronikin tek je idealna priložnost za pripravo na prihajajoči Ljubljanski maraton, za vse, ki pa se maratona ne bodo udeležili pa bo tek vseeno lepa priložnost za sproščeno druženje ob premagovanju kilometrov po kamniških ulicah. <p/> * Cena za študente in ostale (starejše od 15. leta), ki bodo tekli na 8km je 5! Zraven dobiš še FRUTABELO! * Za dijake je prijava brezplačna! Dijaki tečejo na 4 kilometrski razdalji. Tudi dijaki ob prijavi dobite FRUTABELO! <p/> Še enkrat več te opozorim, da ne zamudi te krasne priložnosti za odkrivanje starih srednjeveških kamniških ulic na malo drugačen - hiter ali počasen, družaben ali osamljen način! :)",Promotion
16,"Pri Tyri Banks se nikoli ne morem čisto odločiti, ali mi je všeč ali ne. Načeloma ja, samo tisti oprah-wanna-be nastopi v ANTM mi nekako ne dišijo preveč. Skupaj s celotno ameriško teatralnostjo in pretiravanjem na vseh možnih točkah, seveda. <p/> . No, čeprav je znova teatralna, mi je bilo blazno všeč, kako je v svojem šovu nadrla vse opravljive revije, ki so se naslajale nad njeno postavo v kopalkah, ki zadnje čase pač ni več manekenska – dečva se je vseeno upokojila, naj končno je tako kot hoče. Jaz mislim, da še vedno izgleda super, tudi če nima bušija ravnega kot deska, ne vem pa, kaj je s temi čudnimi sprednjimi prameni, ki vlečejo na sivo.",Opinion/Argumentation
329,"Prva resna konvencija po desetletjih počitka <p/> Misija Si.Con <p/> Potovanje po Sloveniji <p/> Konvencija se bo predvidoma selila iz enega v drug kraj. Nikakor ne bo zacementirana samo na enem mestu. Prva konvencija bo v Celju. Kje bo naslednja, pa bomo glasovali na sami konvenciji glede na nominacije. seveda se na začetku ne bojimo pretianega navala nominacij, saj je slovenska scena žal takšna, da večina čaka, da jih nedko nekam premakne. Skupno konvencijam je ime Si.Con, ki tudi mednarodni javnosti takoj pove, da gre za slovensko konvencijo. Dogodek v Celju ima ime Celjska vampirska večerja. Upam, da bomo uspeli dobiti kakšnega častnega gosta, ki je napisal dobro vampirščino (Štefka torej odpade). <p/> Okvir dejavnosti <p/> Na konvenciji bodo sledeči generalni sklopi dejavnosti: <p/> Okrogle mize, povezane s tematiko nam ljubih žanrov <p/> Predavanja iz različnih aktualnih vsebin (E-objavljanje, založništvo, možnosti življenja v vesolju, etični vidik nesmrtnosti ipd.) <p/> Predstavitve društev in združenj <p/> Delavnice (risanje mang, izdelava orožja za LARP, pisateljstvo,... ) <p/> Namizne igre (turnir ipd.,) <p/> Slovenske nagrade na področju spekulativnih umetnosti, Drejček <p/> Natečaj za nagrade Marsovček za osnovne šole <p/> Sicon zbirka <p/> Organizacijski odbor <p/> Jedro organizacijskega odbora tvorijo člani našega društva. To bo toliko časa, dokler se ne vzpostavi dovolj trdna društvena baza, ki bo sama zmogla zahtevno organizacijo konvencije in se bo uspela izogniti pastem t.i. "" slovenskosti "" scene, ki je že nekajkrat uničila organiziran fandom. <p/> Poleg članov našega društva, smo povabili še člane sledečih društev: <p/> Tolkienovo društvo Gil-Galad <p/> Društvo ljubiteljev ZF &amp; F Prizma <p/> Slovensko skupnost ljubiteljev animejev in mang <p/> Slocartoon <p/> Strpoholiki <p/> Če se kdo ne vidi na seznamu, a vendarle miga, naj se seveda javi. <p/> Kaj bo počel ta odbor? <p/> Pripravil in uredil vsebinske zadeve, da bo vse v ravnotežju. Nadalje bodo sodelovali s Komisijo za nagrade pri izboru nagrajencev nagrad Drejček. <p/> Opomba: Znak Si.Cona je še delovna verzija.",Opinion/Argumentation
684,"Odslej partnersko kmetovanje tudi na Štajerskem <p/> Prvo razdeljevanje košaric z ekološkimi pridelki med kmeti in potrošnik, v četrtek, 12. maja 2011 <p/> Od jutri naprej bodo lahko potrošniki tudi v Mariboru prišli do ekološko pridelanih živil preko sistema partnerskega kmetovanja v obliki zelenjavnih, sadnih in žitnih košaric. Prvo razdeljevanje zelenjavnih in žitnih košaric bodo pričeli v četrtek, 12. maja 2011, ob 17.00 uri na dvorišču kmetije Biotikva v Limbušu pri Mariboru (Lackova cesta 267, 2341 Limbuš). Konec maja bodo sodelujoči kmetje še razširili ponudbo zelenjavnih košaric in potrošnikom ponudili tudi sadne košarice. <p/> V društvu ECHo, ki je pobudnik in organizator tega projekta na Štajerskem in v Prekmurju, so zadovoljni s trenutnim odzivom. V partnersko kmetovanje se je vključilo 7 ekoloških kmetij, ki bodo potrošnikom vsak teden zagotavljale zelenjavne, sadne in žitne košarice, hkrati pa bodo potrošnikom ponudili tudi druge izdelke iz ekološki pridelave in predelave: namaze, sokove, marmelade, kruh, jajca, meso in mlečne izdelke. Za nakup ekoloških živil v okviru partnerskega kmetovanja pa se je odločilo 34 potrošnikov. Gre za prvi poskus tovrstnega načina prodaje med ekološkimi kmeti in potrošniki brez posrednikov v tem delu Slovenije. S tem projektom želijo v društvu predvsem spodbujati razvoj ekološkega kmetovanja med kmetovalci ter podpreti ekološke kmetovalce. <p/> Kaj je partnersko kmetovanje? <p/> Partnersko kmetovanje je v Sloveniji novost povezovanja med kmeti in potrošniki. V svetu so se razširili različni modeli (CSA - Community Supported Agriculture), ki pa imajo skupni imenovalec: spodbujajo lokalnost, trajnostno in etično potrošništvo s posebnim poudarkom na solidarnosti manjših kmetov, ki kmetujejo brez sintetičnih gnojil in škropiv. Po navadi gre za enega kmeta ali skupino kmetov, ki prodajajo svoj pridelek 20 do 30 odjemalcem. Kmet se pred setveno sezono pogovori s potrošniki o njihovih željah, dogovorijo se za jasna pravila, nato kmet zaseje površino ter oskrbuje pridelke po tehnologiji in predpisih ekološke pridelave. Pridelki, ki so zrasli na dogovorjeni površini, se tedensko razdelijo med potrošnike. <p/> Ko se potrošniki odločijo za sodelovanje, se vsak teden na dogovorjeni dan, uro in lokacijo dobijo s kmetom in ostalimi potrošniki ter prevzamejo košarico. Med seboj lahko pridelke in izdelke tudi menjajo. Tako kmet zalaga svoje potrošnike vsak teden skozi vse leto z ekološkimi živili, ki so resnično sveži, transportna pot od njive do krožnika pa je zelo kratka. Tako je potrošnik natančno seznanjen s tem, kdo zanj prideluje hrano, kje in na kakšen način. Potrošniki v okviru tega sodelovanja prejmejo visok kakovostna ekološka živila, kmetu pa je omogočeno dostojno življenje.",News/Reporting
255,"V ponedeljek, 17. 12. 2012, pa se je odvijal v telovadnici OŠ Toneta Čufarja drugi del predtekmovanja za občinskega prvaka, kjer so učenke naše šole pokazale zelo dobro igro in premagale učenke OŠ Maksa Durjave z rezultatom 2:0. Učenke OŠ Kamnica na tekmovanje niso prišle, tekma je bila prestavljena na četrtek, 20. 12. 2012, kjer so jih Čufarke gladko premagale z rezultatom 2:0.",News/Reporting
316,"Odgovornost pa po mojem mnenju naj ne bi predstavljala le dejstva, da se lahko (oz. celo morajo) odločati namesto otroka, pač pa predvsem to, da naj bi bile njihove odločitve odgovorne, smotrne in koristne za otrokov razvoj. Tudi v SSKJ-ju je odgovornost (med drugim) definirana kot lastnost, značilnost tega, kar zaradi pomembnosti, posledic zahteva veliko znanje, skrbnost, ter kot odnos, pri katerem mora kdo dajati pojasnilo, utemeljitev za svoje delo, ravnanje Odgovornost je torej nekomu dana, ker se predpostavlja, da ima znanje in zmožnosti, da bo z zaupano stvarjo, nalogo, ravnal “ pravilno ”. Moč, ki jo starši dobijo, naj ne bi bila dana sama po sebi, pač pa zato, ker se znajo odločiti bolje. Takšna odgovornost je za starša nedvomno stresna. Večina staršev nenazadnje svojim otrokom želi najboljše, težko pa vedo, kaj je v resnici najboljše za otroka. Mama si je tako v svojem otroštvu želela več punčk in zdaj svojo hči zalaga s punčkami, da ta ne bi čutila frustracij. Pri tem pa se morda sploh ne ugotovi, da hčeri punčke sploh niso pri srcu. <p/> Moč odločanja, ki jo starši z odgovornostjo dobijo v paketu, pa različnim strokovnjakom pogosto kravžlja živce. Starši lahko odločajo, ali bodo šolskemu zdravniku sploh dovolili sistematski pregled pri šolskem zdravniku. Starši lahko odločajo ali otrok lahko gre na pogovor k šolski svetovalni delavki ali pač ne (izjema so seveda akutne situacije, ki jih je treba takoj rešiti – npr. pretepi med otroci, izrazito žaljenje sošolcev ali učiteljev, motenje pouka). Starši odločijo ali zdravnik lahko zdravi otroka. Starši odločijo ali otrok lahko hodi k psihologu ali ne. Vsa ta moč je seveda super, dokler starši z njo resnično delajo v interesu otroka. Vendar se žal zdi, da temu pogosto ni tako. <p/> Na šoli je recimo izrazito socialno anksiozen otrok, nesamozavesten, med sošolci nesprejet, pogosto mu je težko prihajati v šolo. Učitelji opazijo ta problem in zdi se jim najbolj smotrno, da bi tak otrok obiskoval šolsko svetovalno delavko, s katero bi razvijal socialne kompetence, skušal razviti boljšo samopodobo. Starši pa rečejo ne. Naš otrok že ni tak. Doma je pa normalno zgovoren. Šola se nima v našo družino kaj za mešati. <p/> Podobna situacija. Pri treh letih otrokove starosti se v Sloveniji na celotni populaciji otrok izvaja sistematičen psihološki pregled. S tem pregledom se identificira tako otroke, ki kažejo motnje v duševnem razvoju, kot tudi otroke, pri katerih je visok riziko razvoja nevrotične motenosti ali motenosti v prilagajanju. Seveda ni nujno, da bodo vsi otroci, identificirani kot rizični, res razvili motenosti. A rezultati na tem pregledu, imajo precej dobro napovedno veljavnost. Napoved, da se bo razvojna pot otrok, ki se uvrstijo v območje rizičnosti, odvijala v smeri nevrotične strukture, torej drži z veliko verjetnostjo. Psiholog torej identificira nekega otroka kot rizičnega in predlaga določeno obliko nadaljne obravnave. Če starši te obravnave ne želijo, je pač ne bo. In otrok, pri katerem bi pri treh letih lahko neugoden tok razvoja obrnili v drugo smer, bo morda pri desetih vedenjsko problematičen mulc, ki gre na živce svojim staršem, šoli pa še bolj. Morda seveda, nujno ni nič. A bolje je delovati preventivno na večjem številu otrok, kot pa da je nato potrebna kurativa, ko je pravzaprav že prepozno. In če mora nekdo končevati svoj osebnostni razvoj kasneje kot odrasel pri kakšnem psihoterapevtu, bo ta razvoj trajal nekje dvakrat dlje kot bi trajal, če bi bil normalno “ izveden ” v otroštvu. <p/> Starši imajo tako nad razvojem otrok skorajda moč bogov, različni strokovnjaki pa jim lahko nasprotujejo le, kadar starši nadvse očitno ogrožajo otrokovo zdravje ali življenje. Slednje pa je težko dokazati, sploh ko ne gre za telesno, pač pa psihično ogrožanje. In praktično nemogoče, ko gre za zadeve kot potencialno rizičen osebnostni razvoj, ki je v končni fazi vendarle le potencialnen.",Opinion/Argumentation
