,text,labels,split
3,"In November, the month of addiction prevention, members of the Local Action Group for Addiction Prevention will hold a series of expert lectures for parents of primary school children in Celje... <p/> The lectures, which will be organised this month at nine primary schools in the municipality of Celje, are aimed at parents of pupils in grades 6 to 9. The lecture programme is financially supported by the Municipality of Celje. The lectures will focus on the protective factors of education that can help to prevent drug use. Drugs, both licit and illicit, are increasingly being used by children. The lectures will also provide parents with information on what behavioural and physical changes to look out for when they suspect that their child has used drugs. Although the topic is topical, shedding light on effective parenting skills and communicating with children in conflict situations in addition to addiction problems, only 160 parents attended last year's series of lectures in eight primary schools. This time, the organisers hope for a better response. The series of lectures will be delivered by experts in medicine, psychology, social work and criminology.",News/Reporting,train
4,"Selena Gomez launches new album <p/> 16.07.2013. 11:00h 0 0 0 <p/> You can hear what Stars Dance sounds like by playing a game on Twitter. <p/> The Mexican singer will serve up her new album on 23 July. She announced it with the single Come & & Get It, which she presented at this year's MTV Movie Awards. Slow Down and Love Will Remember followed.",News/Reporting,train
5,"Miscellaneous <p/> This year, for the 30th time, the Swiss compared all types of new cars on the basis of criteria set out years ago by the Heidelberg Institute for the Environment (IFEU). For the first time, hybrid cars lost first place to natural gas cars. <p/> Three eco-cars, the VW eco-up, the Skoda Citigo and the Seat Mii, took first place <p/> How the table is made The comparisons are always based on the latest scientific findings and the state of the art. Over the last ten years, new findings have continuously influenced the scoring, as the environmental impact of individual emissions has always been reconsidered. CO2 emissions, emissions of fine particulate matter, the burden on humans and the natural environment have become more important in the scoring. CO2 was found to be the main greenhouse gas, and vehicles account for one third of all emissions, which is why its share is so high. Interestingly, there are no electric cars on the list, as the assessors did not obtain reliable data on their characteristics. <p/> The table below shows all the passenger cars, from small to large, that scored the highest in the evaluation. <p/> Noise, toxins and nature In Switzerland, two thirds of people feel overwhelmed by noise, mainly from traffic. The constant noise environment causes stress and ill health, and is also bad for heart patients and cancer sufferers. Measurements have shown that the impact of the noisiest car is as disturbing to people as if ten cars with the lowest noise levels drove past at the same time. The most toxic substances are emitted by a vehicle on a cold start and depend on the type of fuel. They also point out that modern petrol injection engines emit extremely high levels of soot. They measure the impact on nature in terms of NOx emissions. Together with sulphur dioxide, they cause acidification of the soil, overfertilisation of soils and rivers, and are involved in the formation of harmful ozone peaks in summer. <p/> Impact prioritisation in the assessment <p/> Model selection Only vehicles emitting no more than 150 g of CO2 per kilometre, equivalent to 6.5 litres of fuel per 100 km, can be included in the assessment list. The exception is large cars with more than 5 seats, which can reach up to 180 g/km. Not all variants of one model have been considered in the comparison, as the list would be too long, so the more environmentally friendly variants have always been chosen. Niche models or vehicles from manufacturers with a negligible market share were also not considered. <p/> What the measurements showed Last year, the Lexus CT 200h Hybrid, a lower-mid-range vehicle, came first. This year, it was pushed into fourth place by three equivalent vehicles powered by a mix of natural gas and biogas, which is found at all gas stations in Switzerland. The first-placed VW eco up! also scores highly in terms of occupant safety, with the best result in the crash tests. The lack of occupant protection is therefore no longer an excuse to buy a car that is too big for its number. The new Toyota Yaris is out of the top ten due to excessive noise, even though it has an extremely low CO2 emission of only 79 grams per kilometre. <p/> The development of electric cars is moving very slowly. New models appear only sporadically, as customers do not show the necessary enthusiasm. Manufacturers also do not provide scientifically based data that can be used for evaluation. In addition, they find that the factory consumption data is not true and drivers should only charge their electric vehicles with green electricity to make them environmentally attractive, according to the evaluators.",Promotion,train
7,"JUDGMENT: The rule in Article 216 of the CCP allows the court (after the evidentiary proceedings) in the fact-finding proceedings to give a quantitative (numerical) estimate of the quantity given (claimed) (money or substitute items), of which it has only a qualitative idea on the basis of the evidence given. However, the court's discretion in question is not a substitute for the litigant's duty to gather the procedural material and does not relieve the party of the obligation to plead all the facts and to adduce the evidence on which it bases its claims (judgment and order of the Supreme Court, Op. No II Ips 250/2005 of 11.5.2006). <p/> CONCLUSION: The revision is dismissed. <The costs of the audit shall be borne by the auditee. <p/> SUMMARY: (1) The sums claimed in the application relate to the payment of the insurance premium (SIT 62,155,660.00) and to compensation for the damage allegedly suffered by the applicant as a result of the non-payment of the insurance premium (SIT 61,516,094.55 and EUR 1,081,484.50 in tolar equivalent). On 31.5.1996 the parties concluded an insurance contract (the Contract) under Policy No 814552, which was governed by the defendant's 'General Conditions for the Insurance of Animals', the 'Special Conditions for the Insurance of Fish in the Sea' and the addendum to that policy. The latter provided for the escape of fish from the applicant's cages as a result of a wind of the eighth degree of force on the Beaufort scale (gale) as an insured event. On 5 August 1997 the applicant reported the escape of 224 684 perch and sea bass. The Court of First Instance found that a storm had indeed raged between 25 and 27 December 1996, but held that the applicant had not proved that the number of fish allegedly escaped from its farm (from the cages on Platform III) as a result. <p/> (2) The Court of First Instance dismissed all the claims in their entirety. The Court of Second Instance dismissed the applicant's appeal against that judgment and, upholding all its findings of fact and conclusions of law, affirmed it. <p/> (3) The applicant challenges the judgment of the Court of First Instance in its entirety by way of revision. In it, he relies on ""all the grounds of review"" referred to in Article 370(2)(1), (2) and (3) of the Civil Procedure Act (C.P.A.). The Court of First Instance is asked to uphold the review and to alter the judgment of the Court of First Instance by granting the claims in the action or, in the alternative, to set aside the judgments of the Courts of First Instance and Second Instance and to refer the case back to the Court of First Instance for a new trial. <p/> (4) The review was served on the defendant, who did not reply, and on the Supreme State Prosecutor's Office of the Republic of Slovenia. <p/> (5) The applicant was removed from the court register after all procedural steps in the review proceedings had been completed, with the exception of the issuance of the judicial decision. This act, which is a procedural act of the court, is not affected by the stay of the proceedings on the basis of the law itself (Article 205(1)(3) of the CPC), as the second sentence of Article 207(2) of the CPC is applied mutatis mutandis (thus the Supreme Court's judgment of 19.12.2006 in Case No III Ips 42/2006 as an expression of settled case-law). <p/> The revision is not justified. <p/> (6) The revision criticises the judgment of the court of second instance for a fundamental infringement of the provisions of the procedure referred to in Article 339(2)(14) of the Civil Procedure Code. It considers the infringement to be, in general terms, that the (contested) judgment of the court of second instance ""stated, contrary to the documentary evidence, some findings which contradict itself and which contradict the content of the documents or records of the depositions in the proceedings"". This is reflected, first, in the Court of First Instance's finding that, although the applicant, when reporting the damage on 30.12.1996, stated that 'a certain number of fish had also escaped', this nevertheless did not constitute a notification under policy No 8, but rather a notification of damage to the platform for a quarry on the platform. However, in order to satisfy the alleged ground of review, the judgment under appeal would have to be so defective as to preclude its review. That is not the case. The judgment under appeal is, in that respect (the last paragraph of the second page and the first paragraph of the third page of the grounds of appeal), capable of being reviewed: it is in agreement with the Court of First Instance, which itself gave full reasons (the last paragraph of the third page of the grounds of appeal).  <p/> (7) It is also possible to review the judgment under appeal (while the plea in law relied on is not raised) in so far as the auditor criticises it for contradicting the view that the plaintiff was late in declaring the escape of the fish in the light of the Contract and the provision of section 917(1) of the Law on Contractual Relations (LCCR) in force at the time, and the view that it did not forfeit its right to the benefit of the Contract as a result.  147 of the case-file) can be read without difficulty as meaning that the circumstances of the applicant's notification of the insured event - which was unusually (and unlawfully! ) late in the light of the care which the applicant, as a professional fish-farmer, should have been expected to exercise, and in the light of the applicant's established capacity to detect a significant decline in the number of fish (a 53 % escape of the insured population) - were taken into account by the court only in the context of its assessment of the evidence. The applicant did not (contrary to Article 918 of the Civil Code) lose its right to the sum insured by reason of the delay in informing the defendant, but its claims were dismissed on the ground that it had failed to prove the occurrence of the harmful event. <p/> (8) Finally, the judgment under appeal is reviewable even if the alleged illogicality between the assessment of the credibility of the farm workers who testified that the nets were blown down by the storm and the fish swam outside them and the evidentiary assessment that the plaintiff failed to prove the occurrence of the insured event were true. The assessment of the credibility of the workers in question is only part of the assessment of the evidence, which, however, was also assessed by the Court of Appeal on this point, with clear reasons (see the second paragraph of the third page of the reasoning). The substance of that evidential assessment itself, which is disputed by the auditor, on the ground that Platform I was completely destroyed in the storm, making it untenable to conclude that the fish did not escape from the nearby Platform III, is, as a question of fact, outside the scope of the review (Article 370(3) C.C.P.P.) <p/> (9) The substantive legal position of the Courts of Second Instance and First Instance, that the burden of proof of the occurrence of the insured event was on the claimant, is correct. It is not the case, as the Reviser submits, that the courts of second and first instance insisted that the claimant prove the escape of exactly 224 684 fish (see the third paragraph on page three of the judgment of the court of second instance). Their exact number could, in cases such as the present one, be determined (for the purposes of the litigation) by means of Article 216 of the CCP, but under conditions which are not met in the present case. <p/> (10) The rule in Article 216 of the CCP allows the court (after the evidentiary proceedings) in the fact-finding proceedings to give a quantitative (numerical) estimate of the quantity given (claimed in the action) (money or substitute goods) of which it has only a qualitative idea on the basis of the evidence adduced. That Article expressly provides that the court may do so if the amount of the sum claimed or of the replacement goods is either not ascertainable without disproportionate difficulty or not ascertainable at all. Neither of these (necessary, not sufficient) conditions is present in the present case. The court's discretion in question is not a substitute for the litigant's duty to gather procedural material and does not relieve a party of the duty to plead all the facts and propose evidence on which it bases its claims (Supreme Court judgment and order, Op. No II Ips 250/2005 of 11 May 2006). Since the procedural material gathered in the present case does not substantiate the assessment that any fish escaped as a result of the storm at all, the discretion of Article 216 of the Civil Procedure Code is inapplicable. The courts of first and second instance were therefore correct in finding against the applicant on the basis of the burden of proof. <p/> (11) In so doing, the Supreme Court has responded to the revisionist submissions, which are of decisive importance. Since the grounds relied on did not prove to be well-founded and since it did not otherwise find that the substantive law had been erroneously applied, it dismissed the revision as unfounded on the basis of Article 378 of the CPC. <p/> (12) The decision on the costs of the review is based on Article 165(1) of the CPC in conjunction with Article 154(1) of the CPC. The applicant is to bear its own costs.",Legal/Regulation,train
8,"Exhibition, ""White sport along the green river"", <p/> Exhibition, ""White sport along the green river"", The Portovald Tennis Club, in cooperation with the Marof 103 restaurant, invites you to an exhibition entitled, ""White sport along the green Krka River"", on Monday, 11.5.On Saturday, 6.11.2009, the opening of the interesting exhibition will take place, where you will be able to see the retrospective of TK Portovald, interesting tennis comics and historical photographs.On your visit we will honour you with a mug of Czech beer, donated by Jiri, each visitor will also receive a cleaning wipe for sunglasses, donated by Optika Pušnik-Novljan.",Promotion,train
10,"UNICEF boosts support for education in the Horn of Africa as school year begins <p/> Nairobi, 9 September 2011 - UNICEF has boosted support for children's education in drought-affected countries in the Horn of Africa as the new school year begins. <p/> 13.9.2011 <p/> ""Schools and children's centres play an important role not only in basic education, but also in delivering life-saving messages on nutrition, hygiene, sanitation and health education - all vital skills for survival in today's Horn of Africa,"" said Elhadj As Sy, UNICEF Regional Director for Eastern and Southern Africa. <p/> ""In refugee camps, schools are also accessible to girls and other vulnerable children who may never have set foot in a classroom before,"" added Elhadj As Sy. ""In vulnerable communities, school facilities also provide access to clean water, sanitation, nutrition programmes and safe spaces where children are protected from violence and abuse. ""<p/> In the affected countries of the Horn of Africa, crucial support to the school system was already provided before the start of the new school year: <p/> In Kenya, many schools were opened in drought-affected areas, including during the holidays, to provide access to nutrition programmes for 1.2 million children. In Somalia, 155 schools were opened with UNICEF support, supporting 37,000 children <p/> Since 2010, 28,000 children living in drought-affected areas have been able to access education through alternative school facilities and supplies <p/> Since the beginning of 2011, UNICEF has supported the education of some 120,000 displaced children in Somalia. More than 300,000 children will be supported in the coming months, including those attending one of the 1,500 rural schools in central and southern Somalia. In these areas, priority assistance will focus on the provision and establishment of long-term services for children who have remained in their hometowns or will return <p/> UNICEF's education partners are establishing child-friendly facilities for children to access clean water, food vouchers, adequate sanitation and psychosocial support. By 15 September, 350 child-friendly facilities for more than 30,000 children will have been set up in collaboration with partners. <p/> In Kenya, UNICEF, together with partners in schools and day-education centres, has provided equipment and supplies for more than 60,000 children to date - including beds, mattresses, school supplies and sports and recreation equipment. <p/> In Ethiopia, UNICEF and partners have provided temporary child-friendly spaces and school supplies for some 8,000 children.In addition, UNICEF facilitated the construction of four primary schools in Dollo Ado refugee camp and in two local communities where people from the affected areas have taken refuge <p/> In Dadaab refugee camp in north-eastern Kenya, UNICEF stepped up its support to children's education ahead of the new school year and reached out to needs on the ground, by providing school tents and supplies <p/> The current drought crisis in the Horn of Africa poses an enormous challenge for children's education in all affected countries. In central and southern Somalia, there are approximately 1.8 million children who are out of school because they are displaced and have fled their homes or are living in a conflict zone. In the arid areas of Kenya, where many refugees have sought refuge, local communities are stretched to provide accommodation for new pupils - one quarter of all schools in the area face a shortage of space.",News/Reporting,train
11,"Rozka30 I agree about the White Masai. Good book. The film cannot compare to it. I have read a book by Jacqueline Pascarl I was a princess - a good book, I won't talk about the content, read it yourself But if I make a comparison with The White Masseuse I can tell you that I thought The White Masseuse was better, more beautifully written. Otherwise, I liked I Was a Princess. It is an autobiography. I am guilh these days reading a book by Khaled Hosseini, A Thousand Splendid Suns - and I really recommend that book to you. Given that it's brand new I don't know if libraries have it yet. I bought it. It costs 28 euros. But it is worth the money and more. I really liked it. One of the better books I have read. Another good book is Hawaii on Paper by Vesna V. Godin. It is also an autobiographical story written in the form of a diary. I liked the book. Maybe because I know the author and I know what her life is like. Try reading it. Maybe you will like it. Another book I really liked is by Cecilia Ahern P.s. I love you. But this is a really romantic novel. So if you like that kind of book I highly recommend it. It really brought me to tears. <p/>These are the books that I have read in the last few weeks and they have really grabbed me. I'll report back if there's anything else interesting <p/> my top 100 Erazem Pintar <p/> law book guy is really a tsar <p/> I read that he published a book of his columns. I always read them in Lady, where he publishes them, if I can get my hands on them. <p/> 14.01.2009 at 01:11 <p/> I buy zepne books too, usually when I go to fill up the petrol tank, and I especially like Da Vinci's Sifra, Desert Flower, Mayada-Iraq and Stormy Night. <p/> allany18 Number of entries: 9 <p/> 14/01/2009 11:12 <p/> ugh... last book? ? ? i think there were too many. the one that sticks in my mind and is worth a second read is definitely The Kitchen God's Wife. i agree, though, that books like The Tibetan Child, desert flower... are really good books that i've added to my little ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' . i do prefer to read fantasy and science fiction, but out of all the books that have been published in this genre, only a few of them have made it to my shelves. i'm not sure if i'd like to read the first one. I definitely like the Lord of the Rings (they're still better than the films) and Eragon, which I read almost immediately after it was published in english, long before the film was even made. romance novels are just like ''summer reading'', which you forget the moment you close the book. I would like to ask you one more question, though. how many of the books do you read in foreign languages? <p/> 14.01.2009 at 21:26 <p/> I haven't read any books in a foreign language. Maybe it would be interesting, I'll try sometime. <p/> Majada Iraqi Daughter is a good book. Now I've started reading The Mysterious Dinner by Javier Sierra, I'll see if it will pull me in or not. <p/> 15.01.2009 at 21:49 <p/> Ugh, I have to admit that I've read most of the stuff you mention. Majada the Iraqi's Daughter is great. I HAVEN'T read Lord of the Rings, though, and that kind of didn't pull me in. Rozka30, picking up an English book is good for a refresher in a foreign language. <p/> mateja10 Number of entries: 25 <p/> 18/01/2009 at 17:45 <p/> Oy! <p/> I've just read Summer Flash and Hookers. They're not exactly autobiographies, but I can see that the books I listed above are about strong women, and these two are like that too. I recommend them. I read both of them in a week. Oh, and I also liked Matilda's Diary. I am reading Madame Bovary now.",Forum,train
12,"Bullshit detector! <p/> Ekola, they told me to write a blogpost about something that happened at the conference! The most interesting talk, in my opinion, was given by Gustav Martner, Executive Creative Director of CP+B Europe (Crispin Porter + Bogusky Europe) <p/> Mr. Martner lectured about advertising, internet, media, his mom, cable TV, kids, about how the microphone crashes - yes it's true, a couple of times the microphone failed while he was lecturing, but what I liked the most was that he got the audience on his side when he said that the microphone is a bullshit detector (for those who don't count, the microphone stops working when Gustav is loading the microphone). Audience relaxed, attention gained. <p/>What did he say about the Internet as a medium? To sum it up in a few lines and a few more photos. I would like to point out that, in general, the conference did not discover hot water, as they say, in fact they did not say anything so new, but they presented it in an interesting way. This applies to the minority of lectures in English! Unfortunately, I do not know if they said anything more specific in the Spanish-speaking lecture theatres. <p/> Gustav Martner during his lecture <p/> Let's have a slide to rest your eyes, and I'll rest my fingers: <p/> Why don't sales people like this? - Because technology is democratising (it's available to most people) - Because digital distribution is democratising (it's available to most people) - Because anyone can be an agent (an ambassador for a product) - Because dialogue and conversation are being mass-produced - Because control is increasingly being lost <p/> The creativity of the advertising product, the culture it creates, is no longer as controllable as it used to be. <p/> Does this mean that traditional media such as TV, radio or print, as well as conventional online advertising, have a competitive opponent? Does it mean that there is an end to the traditional advertisements that are collected from a few people and that are advertised with the brute force of online or offline marketing? For such campaigns, we have to pay a lot of money, we call it 'bought media' - because we have paid to have a new product flogged to us on the web! <p/> Gustav Martner says NO! NOT AT ALL! <p/> He proved it with the example of Burger King T-shirts, just look at the Gustav Martner - OMExpo Madrid slides. If it is good advertizing, it is quickly used by the onlinecommunity and the issue goes viral! Which is genius! Two things are the only things that matter! <p/> The first is that there is no such control over what goes viral. It takes good foresight and planning to offer the communitiy what you want them to grab. Bait! ;) The second is that clients are afraid of the negative image and connotation of the product or service that viral content would bring.",Opinion/Argumentation,train
16,"With Tyra Banks, I can never quite decide whether I like it or not. In principle, yes, it's just those oprah-wanna-be performances in ANTM that I'm not too keen on. Along with the whole American theatricality and overacting at every possible point, of course. <p/> . Well, although she is theatrical again, I loved the way she went on her show and annoyed all the reprehensible magazines that were fawning over her swimsuit figure, which is just not a mannequin's figure anymore - the girl has retired anyway, so let's finally have it her way. I still think she looks great, even if she doesn't have a bushy straight-as-a-board, but I don't know what it is about those weird front strands that are pulling on the grey.",Opinion/Argumentation,train
19,"Contributions <p/> More and more new and renovated housing is being built in a low-energy or even passive house concept. Low-energy buildings, and in particular passive buildings, are residential buildings whose primary purpose is to minimise energy consumption. <p/> By definition, a house should be low-energy when its heating energy demand is less than 50 kWh/(m ² a) and passive when it is less than 15 kWh/(m ² a). In practice, it may even be less than 10 kWh / (m ² a). <p/> Several factors are important for a building to reach these standards. The correct location and orientation, as well as the use of the right structures and materials, must be taken into account in the design and construction. <p/> The aim of this type of construction should be to minimise the energy used to heat and cool the building. <p/> This means that the following conditions must be met in the most efficient way possible: <p/> - use of solar energy directly through glass surfaces and indirectly through solar collectors for the production of domestic hot water, <p/> - the primary energy source for this type of building is the sun. However, in truth, we have to admit that in our region there are not many sunny days in winter. Therefore, on those days when the outside temperature is around 0°C or even lower, such facilities also need an additional source of energy. <p/> Most often, the additional source is a heat pump, which heats the building and provides the necessary amount of domestic hot water on cold days without solar radiation. <p/> As modern and technically sophisticated as heat pumps are, they also have drawbacks. As the ambient air temperature decreases, their efficiency decreases and the direct energy consumption increases. Another dilemma is what happens in the event of a power failure, which can sometimes last for a day or more. In this situation, this type of facility is completely helpless. <p/> All the above-mentioned devices - solar panels, heat pump and ventilation - are then useless. The very serious question is what to do in such a situation? <p/> One option is to use a solid fuel local heating system. But what kind? The building has a small, very meagre heat demand and all local solid fuel stoves are designed for a minimum of 6 kW and more. Such an installation would turn the building into a sauna, as the room temperatures would be significantly too high. But there is an answer, and that is a clay stove or a SMALL CLAY STOVE. <p/> 1 - Outside air inlet <p/> 2 - Fire door with glass <p/> 3 - Automatic combustion air inlet control <p/> 4 - Manual combustion air inlet control <p/> 5 - Fireclay combustion chamber - firebox <p/> 6 - Secondary combustion air inlet <p/> 7 - Afterburner zone <p/> 8 - Flue gas passage to flue ducts <p/> 9 - Fireclay flue ducts - 3m long <p/> 10 - Pottery lining <p/> 11 - Connection at top <p/> 12 - Connection at rear <p/> Most people think of a pottery stove as an artisan-built heating appliance, It is a stove heated with wood and heats one or at most two living spaces. We think of a rustic room, a mountain hut or a living room with a ceramic stove that warms the room in a cosy way. But in reality, the earthenware stove is an element that offers much more, because the possibilities of design and use of earthenware stoves in terms of design and thermal engineering are extremely wide. <p/> With the introduction of new living standards and the consequent construction of buildings with lower energy consumption, the need for individual solid fuel heating appliances of smaller size and power has become apparent. Manufacturers of earthenware stoves have identified a niche market and have adapted their products to this part of the market. We have developed so-called ""SMALL IRON STOVES"", which have the same characteristics as conventional designs, with the difference that they are smaller in terms of dimensions and heat output. <p/>Where are the advantages and why do customers choose such stoves? <p/> There is an increasing trend towards smaller living units and low-energy buildings where energy consumption is minimal and conventional solid fuel heating appliances are simply too powerful. <p/> Heat outputs of 1.2 - 3.0 KW using 3 to 5 kg of firewood per fire are ideal for this type of building. <p/> The operation of the combustion in the firebox is therefore completely independent of the room air. The combustion air can be controlled either manually or automatically. In the latter case, the microprocessor controls the air supply to the firebox via a control damper. <p/> The method of heat transfer by gentle radiation of the ceramic surfaces offers the most suitable solution in terms of health, comfort and convenience for man. As the proportion of convective heat transfer is lower due to the low surface temperatures, the movement of warm air through the room is also less intense, resulting in less dust particles being raised. This fact is particularly important for people with various allergies. <p/> The ability of fireclay materials to accumulate heat allows for a long heating cycle of up to 12 hours. This means loading firewood twice a day and thus very easy operation. <p/> Due to the modern technically sophisticated construction of the firebox and flue and thus the perfect combustion technique, the efficiency of the stove is very high, over 85, which means a low consumption of firewood and thus cheaper heating and less landfill. <p/> The perfect combustion results in high temperatures in the firebox, which means higher efficiency and more favourable emissions. <p/> The lifetime of such a stove is very long (at least one generation), which means that the investment is very rational. A long-term investment in a reliable, environmentally friendly and low-cost heating method. Maintenance and operation is simple. Wood biomass is used as the energy source, which is the most ecologically advantageous yet the cheapest. The glass fire door allows visual contact with the flame, which attracts people and offers them additional comfort.Installation is quick and clean. <p/> Design is also very important. In addition to the dimensional and design specificities, all stoves have a choice of glazing colours or colour combinations. With a choice of different glaze combinations, each customer can choose the colour idea that suits them. This gives each kiln a completely individual character tailored to the wishes and needs of the customer and makes it completely unique. <p/> And there is one more thing <p/> Every stove is an ornament and a decorative element in a room. In addition, firing and operating a tiled stove is a very special and enjoyable task. What makes it special is the pleasant radiation of heat through the walls of the stove and the many functional possibilities. The wood-burning fire is pleasantly felt through the open fireplace door, and fire has remained a source of heating from prehistoric times to the present day. Burning wood gives us a feeling of relaxation. It is a special ritual that is the same for each of the earthenware stoves. In each hearth, a large amount of energy is released when the fire is lit. This is stored in the fireclay mass of the earthenware stove and radiates into the room as a gentle, soft heat for hours afterwards. <p/> The heater operates independently of the electricity in the house or the oil in the tank. Pot stoves cover the need for heat in the way that ancestors once did. This is still the case today, and will continue to be the case long after oil and gas are long forgotten sources.",Promotion,train
