,text,labels
680,"CD PREDVAJALNIK <p/> CD predvajalnik <p/> CD predvajalnik oz. CD player, je idealna komponenta za oživitev vaše zbirke zgoščenk. V zadnjih letih so ti, včasih zelo popularni mediji začeli izgubljat digitalni primat, saj so v porastu tako imenovani streamerji. Slednji so zaradi pretočnih servisov in vgrajenih internetnih radijev zelo enostavni za uporabo. <p/> Fizični format ni kar tako <p/> Vseeno pa je še vedno nekaj na fizičnem kontaktu z vsebino, ki jo bomo poslušali. Nič ne more odtehtati denimo spomina na nakup naše zgoščenke, dolgotrajnem zbiranju ali našemu prvemu stiku z digitalno vsebino. Ob poslušanju in gledanju ovitka včasih privrejo na dan spomini, kraja kjer smo jo kupili ali osebe s katero smo bili. Neprecenljivo.",Promotion of a Product
769,"Objavljeno: 20 Mar 2010 13:08 Naslov sporočila: Izpit Kovač <p/> - Ravni in področja managementa - Max Weber - Glavne strategije podjetja - projektna org. struktura - računovodska funkcija <p/> Objavljeno: 10 Jan 2011 14:48 Naslov sporočila: OSNOVE ORG. IN MANAGMENTA <p/> Pozdravljeni, zanima me če kdo gre juter 11.1.2011 na izredni rok v Kranj?? Bi mogoče lahko kdo napisal vprašanja izpita, ker je to moj zadnji izpit <p/> Objavljeno: 01 Jun 2011 10:51 Naslov sporočila: Delno priznanje izpita <p/> Hej...jaz pa mam delno priznan izpit. Za izpit rabim samo 2. in 4. poglavje skripte. Zapiskov mam več ko dovolj, problem je samo ko ne vem kateri naslovi oz.teme spadajo v 2. in 4. poglavje... Bi mi znal kdo pomagat? Na izpit grem kar kmalu... tko da... prosim za informacije. <p/> Objavljeno: 11 Jun 2011 01:06 Naslov sporočila: Re: Delno priznanje izpita <p/> Anjaa je napisal/a: <p/> tudi jaz imam enako priznan izpit in moram odpisati samo 2. in 4. poglavje ce imas kopije tistih 111 vprasanj, potem pridejo v postev vprasanja od 13-36 in od 72-99. Drugace pa so naslovi poglavij: tradicionalna oz. klasicna teorija, obdobje neoklasicne teorije, behaviorizem, kvantitativne sole preucevanja org in managementa, sistemsko-kibernetski pristop k org in mngmnt, situacijski pristop k organizaciji->to je II. del; IV. del: management in odlocanje, strateski management, management in etika, management in vodenje. lp <p/> Nimam teh vprašanj... po power pointovi predstavitvi iz predavanj sem šla skozi, samo sem se vseeno odjavla :/ Če pa maš tota vprašanja bi bla vesela, če bi mi jih poslal na mail... <p/> Če bo komu prav prišlo vprašanja na izpitu 24.1.2012 1. opredeli pojem vodenje 2. nariši in opiši matrično organizacijsko strukturo 3. SWOT analiza, opiši jo in kje se uporablja 4. operativna proizvodna funkcija <p/> Zdej mi je mal žal, da nisem prej videla tega=) vprašanja na izpitu 30.1.2012 -zakaj Taylorja imenujemo oče znanstvene teorije -opredeli pojma vodenje in upravljanje -nariši in opiši matrično org. strukturo -SWOT analiza -etika managementa Sosedje so imeli -situacijska teorija -zaprt sistem(značilnosti) -analiza lastnega potenciala -org. predpis -kaj pomeni, da je management uporabna veda Upam, da komu pomaga;)) <p/> 14.2.2012 vprašanja nebolonjski 1. Definicija organizacije iz fukcionalnega vidika (mogoce ni bil cist tak vprasanje ampak v tem smislu) 2. Kaj je organizacijski predpis 3. Situacijski pristop 4. Kadrovska poslovna funkcija pa hvala vseem ki ste dal vprašanja iz prejšnih izpitov gor. <p/> Če noben ne more dat gor vprašanj... OSNOVE ORGANIZACIJE IN MANEGEMENTA - VS - KOVAČ JURIJ IZPIT: 13.9.2013 1. Kritika Taylorjevih del 2. Opiši Raddinov motivacijski model Z 3. Kakšne značilnosti ima matrična organizacijska struktura 4. Opiši računovodsko poslovno funkcijo <p/> OSNOVE ORGANIZACIJE IN MANAGEMENTA - VS - KOVAČ JURIJ IZPIT: 29.1.2014 1. Ravni managementa in katera znanja so potrebna 2. Omejitve pri t..i. kvantitativni teoriji 3. Kaj je strategija in katere strategije poznamo 4. opiši poslovno računovodsko funkcijo lpM",Forum
613,Nazadnje urejal/a kaela 19 Nov 2011 19:16; skupaj popravljeno 1 krat <p/> SUPER! iščem že nekaj časa takooo poceni!! Verjetno jo kupim ! _________________ Činčile so prečudovite živali!,Forum
931,"Katero hrano je dobro jesti skupaj in katero ne <p/> Kombinacije živil so pogosto tiste, ki zakomplicirajo potek presnove. Če ne jemo pravih kombinacij, nam tudi zdrava hrana ne pomaga. <p/> 1. Ne jejte skupaj beljakovin in škroba Izogibajte se uživanju enostavnih ogljikovih hidratov in beljakovin v enem obroku. Ne kombinirajte kruha, riža in žit v kombinaciji z ribami, jajci, mesom, mlekom in mlečnimi izdelki. Telo namreč potrebuje alkalno bazo za predelavo škroba in kisline za predelavo proteinov. Ta kombinacij povzroča napihnjenost, bolečine v trebuhu, motnje prebave ... <p/> 2. Beljakovine jejte samo z zelenjavo <p/> 3. Škrob jejte samo z zelenjavo Škrobna živila, kot so riž, krompir in testenine kombinirajte samo z zelenjavo. <p/> 4. Sadje Sadje jejte 2 uri pred, ali po obroku. Sadje je tako posebno v vseh pogledih, da boste največ pridobili, če jih boste prebavljali samostojno. Pomembno je, da se pri sadju sproži proces fermentacije, kar lahko v kombinaciji z drugimi živili moti ostale procese presnove. Pazljivi pa bodite pri melonah. Melone so hitreje prebavljive od ostalega sadja, zato bodite previdni tudi pri mešanju sadja med sabo. <p/> 5. Ne mešajte škroba in sladkorja Piškotom se je včasih res težko upreti, a ko v ustih zmešate škrob in sladkor, se izločajo encimi za razgradnjo škroba, sladkor pa povzroči zakisanost telesa. Zakisanost upočasni razgradnjo škroba in ujeti ste v nerešljivo prebavno zanko. <p/> 6. Mleka ne kombinirajte z ničemer Pasterizacija uničuje encime, ki spodbujajo prebavo. Mleko začne koagulirati, ko doseže želodec, to pa upočasni prebavo drugih živil. Seveda to velja samo za kravje mleko. <p/> 7. Izogibajte se sladkorju Problem sladic je toliko večji, ker imamo večinoma v trebuhu že porcijo beljakovin, škroba in ogljikovih hidratov. Vse to še dodatno zaplete prebavo. V takem primeru radi rečemo, da nam kakšna hrana obleži v želodcu, kar je tudi dejansko res, ker se metode presnove izključujejo. Za sladice ste morda že kje slišali, da bi bilo bolje, če bi jih pojedli pol ure pred obrokom. Korist bi bila dvojna: velik del presnove bi se do glavnega obroka že opravil, poleg tega pa bi bili manj lačni in bi manj pojedli. <p/> vkj",Instruction
485,"Narišem navpično črto, vzporedno z levim robom. Po višini figuro razdelim na 8 delov. Od zgoraj navzdol: Na prvi črti je brada, na drugi prsne bradavice, na tretji pas, na četrti korak, na peti je konec prstov na rokah, na šesti je koleno, na sedmi noga in na osmi konec stopala. Narišem skico. <p/> Pobarvamo kožo, lase, preostale površine v akvarel tehniki. Vodene barve mešam z vodo. Imam akvarel papir. Površine barvam tako, da nanašam plast vodenih barv. Eno plast posušim preden nanesem drugo. Uporabljam čopič z vidrino dlako. Ta se oblikuje v konico, ko se zmoči. Z njim lahko rišem tudi zelo tanke črte. C vetje izrežemo iz papirja. Ga nalepim.Robove osenčim. <p/> Največ časa porabim na obrazu. Pomembno je, kakšen je videti. Pa lasje so mi všeč. Taki z barvnimi prameni. <p/> Bolj elegantna obleka.",Instruction
3,"V novembru, mesecu preprečevanja odvisnosti, bodo člani Lokalne akcijske skupine za preprečevanje zasvojenosti izvedli niz strokovnih predavanj za starše osnovnošolcev v Celju... <p/> Predavanja, ki jih bodo ta mesec organizirali na devetih osnovnih šolah v mestni občini Celje, so namenjena staršem učencev od šestega do devetega razreda. Program predavanj finančno podpira Mestna občina Celje. Osrednja tema predavanj bodo varovalni dejavniki vzgoje, ki lahko pripomorejo k neuporabi drog. Po drogah, dovoljenih in nedovoljenih namreč vse pogosteje posegajo že otroci. Na predavanjih se bodo starši seznanili tudi z informacijami o tem, na katere vedenjske in telesne spremembe naj bodo pozorni, kadar sumijo, da je otrok posegel po drogi. Čeprav je tema aktualna, saj poleg problemov odvisnosti osvetljuje veščine učinkovitega starševstva in komuniciranja z otroki v konfliktnih situacijah, se je lani ciklusa predavanj na osmih osnovnih šolah udeležilo le 160 staršev. Organizatorji tokrat upajo na boljši odziv. Niz predavanj bodo izvedli strokovnjaki s področja medicine, psihologije, socialnega dela in kriminologije. (ba)",News/Reporting
200,"Uspeh ekipe PF LJ na svetovnem tekmovanju iz poznavanja prava EU - ELMC <p/> Ekipa Pravne fakultete Univerze v Ljubljani, ki se je na podlagi dobrih ocen pisnih memorandumov uvrstila na regionalni finale ELMC v Torino, je v vlogi predstavnika Evropske komisije zasedla 3.- 4. mesto regionalnega finala, tj. 9.-16. mesto na svetu. Poleg tega je imela naša ekipa najbolje ocenjena pisna izdelka (memoranduma za tožečo in toženo stranko) regionalnega finala. <p/> Čeprav ekipi kljub odličnim raziskovalnemu delu, argumentom in nastopom ni uspelo ponoviti uspehov iz 2004 in 2006, ko se je naša fakulteta uvrstila v Veliki Finale v Luksemburg in zasedla 1. in 2. mesto na svetu, o uspehu letošnje ekipe priča tudi dejstvo, da je bila boljša od ekip marsikatere prestižne univerze, ki so se udeležile tekmovanja, npr. LSE, King's College London, Karlove univerze v Pragi idr. Predvsem pa je pomembno, da so naši študentje s sodelovanjem na tekmovanju pridobili ogromno znanja in neprecenljive izkušnje.",Opinionated News
538,"Kaj potrebujete? <p/> Seznanjen/a sem, da je upravljalec osebnih podatkov zgoraj navedeni VULCO partner, kateri bo moje osebne podatke obdeloval skladno z veljavno evropsko in nacionalno zakonodajo ter izključno za namene označene zgoraj za obdobje 5 let. VULCO partner ne bo posredoval mojih osebnih podatkov tretji osebi razen v primeru, ko bo predhodno pridobil mojo izrecno privolitev. Enako velja v primeru, ko bo VULCO partner želel osebne podatke uporabiti za namene, kateri so različni od zgoraj označenih.",Other
230,"Črno piko dobi... gradbena inšpekcija <p/> V Šmartnem ob Paki so porušili piščančjo farmo. Lastnik vse dokumentacije ni mogel takoj predložiti pristojnim, saj je objekt podedoval. Inšpektorica se je odločila, da je treba poslopje podreti. Kasneje pa se je v celjskem arhivu našel dokument, ki potrjuje, da je imela farma že od leta 1970 gradbeno dovoljenje. Zdaj lastnika čaka še kazen, ker je legalno zgrajen objekt rušil na črno. <p/> Nekdanji lekarnar Marko Jaklič teh težav nima. Najhuje, kar se mu je zgodilo, je bilo, da so mu decembra 2011 na kmetiji v Selu nad Polhovim Gradcem, prenovljeni in dograjeni na črno, odklopili elektriko, zaradi česar je poginilo 16 piščancev. Da bi piščetom podrli luksuzno bivališče s pogledom na bazen? Objekt je vendar legalen! Dokumenti obstajajo, če ne, se dopolnijo ali najdejo ob pravem času.",Opinionated News
129,"Foto <p/> Revolucionaren. Najhitrejši na svetu. Popolna novost. To je le nekaj superlativov, ki smo jih na novinarski predstavitvi lahko slišali iz ust Nikonovih predstavnikov. "" Rumeni "" so prvič po petdesetih letih predstavili sistem fotoaparatov, ki je zasnovan povsem na novo. <p/> Nikon je za jutrišnji dan nepričakovano in tik pred zdajci sklical novinarsko konferenco, na kateri bodo predstavnikom sedme sile predstavili veliko novost. Tisti, ki spremljajo objave na spletnem mestu z govoricami iz rumenega tabora, sicer že z več kot 90-odstotno verjetnostjo napovedujejo, da bo Nikon končno predstavil sistem brezzrcalnih ali t.i. EVIL fotoaparatov. <p/> Canon je poleg kompaktneža PowerShot S100, o katerem smo pisali včeraj, predstavil tudi mega-zoom aparat PowerShot SX40 HS. Ta se ponaša s 35-kratnim zoom objektivom, snemanjem videoposnetkov v polni visoki ločljivosti (1080p) ter možnostjo hitrega snemanja s 120 sličicami na sekundo za izjemne slow-motion posnetke. <p/> Več o aparatu lahko preberete v Canonovem sporočilu za javnost v nadaljevanju. Add a comment <p/> Canon je ameriškim medijskim hišam poslal vabilo na poseben dogodek, ki se bo zgodil 3. novembra v Hollywoodu. "" Zgodba se začenja. Canon pripravlja zgodovinsko svetovno najavo, "" se glasi besedilo na vabilu. <p/> Za Canon PowerShot S95 smo zapisali, da je kompaktnež za zahtevne. Že pred letom dni smo ga označili za enega najboljših kompaktov na trgu. Kaj naj potem rečemo za njegovega naslednika PowerShot S100? Add a comment",Promotion of a Product
